snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
56,112000,-6.075200e+08,-4.0000,-6.163055e+08,-4.0578,1,2.287853e-21,0.0883,1.0000
57,114000,-6.075200e+08,-4.0000,-6.164007e+08,-4.0585,1,2.287349e-21,0.0883,1.0000
58,116000,-6.075200e+08,-4.0000,-6.165229e+08,-4.0593,1,2.286636e-21,0.0883,1.0000
59,118000,-6.075200e+08,-4.0000,-6.166082e+08,-4.0598,1,2.286168e-21,0.0883,1.0000
60,120000,-6.075200e+08,-4.0000,-6.167085e+08,-4.0605,1,2.285581e-21,0.0883,1.0000
61,122000,-6.075200e+08,-4.0000,-6.168008e+08,-4.0611,1,2.285029e-21,0.0883,1.0000
62,124000,-6.075200e+08,-4.0000,-6.168894e+08,-4.0617,1,2.284568e-21,0.0883,1.0000
63,126000,-6.075200e+08,-4.0000,-6.170066e+08,-4.0625,1,2.283895e-21,0.0883,1.0000
64,128000,-6.075200e+08,-4.0000,-6.170998e+08,-4.0631,1,2.283340e-21,0.0883,1.0000
65,130000,-6.075200e+08,-4.0000,-6.171862e+08,-4.0636,1,2.282865e-21,0.0883,1.0000
66,132000,-6.075200e+08,-4.0000,-6.172694e+08,-4.0642,1,2.282369e-21,0.0883,1.0000
67,134000,-6.075200e+08,-4.0000,-6.173485e+08,-4.0647,1,2.281924e-21,0.0883,1.0000
68,136000,-6.075200e+08,-4.0000,-6.174131e+08,-4.0651,1,2.281542e-21,0.0883,1.0000
69,138000,-6.075200e+08,-4.0000,-6.175072e+08,-4.0658,1,2.281022e-21,0.0883,1.0000
70,140000,-6.075200e+08,-4.0000,-6.175868e+08,-4.0663,1,2.280554e-21,0.0883,1.0000
71,142000,-6.075200e+08,-4.0000,-6.176419e+08,-4.0666,1,2.280258e-21,0.0883,1.0000
72,144000,-6.075200e+08,-4.0000,-6.177133e+08,-4.0671,1,2.279851e-21,0.0883,1.0000
73,146000,-6.075200e+08,-4.0000,-6.177827e+08,-4.0676,1,2.279431e-21,0.0883,1.0000
74,148000,-6.075200e+08,-4.0000,-6.178742e+08,-4.0682,1,2.278931e-21,0.0883,1.0000
75,150000,-6.075200e+08,-4.0000,-6.179100e+08,-4.0684,1,2.278741e-21,0.0883,1.0000
76,152000,-6.075200e+08,-4.0000,-6.179802e+08,-4.0689,1,2.278365e-21,0.0883,1.0000
77,154000,-6.075200e+08,-4.0000,-6.180502e+08,-4.0693,1,2.277941e-21,0.0883,1.0000
78,156000,-6.075200e+08,-4.0000,-6.180966e+08,-4.0696,1,2.277674e-21,0.0883,1.0000
79,158000,-6.075200e+08,-4.0000,-6.181567e+08,-4.0700,1,2.277309e-21,0.0883,1.0000
80,160000,-6.075200e+08,-4.0000,-6.182476e+08,-4.0706,1,2.276811e-21,0.0883,1.0000
81,162000,-6.075200e+08,-4.0000,-6.182820e+08,-4.0709,1,2.276616e-21,0.0883,1.0000
82,164000,-6.075200e+08,-4.0000,-6.183623e+08,-4.0714,1,2.276158e-21,0.0883,1.0000
83,166000,-6.075200e+08,-4.0000,-6.184152e+08,-4.0717,1,2.275875e-21,0.0883,1.0000
84,168000,-6.075200e+08,-4.0000,-6.184760e+08,-4.0721,1,2.275507e-21,0.0883,1.0000
85,170000,-6.075200e+08,-4.0000,-6.185275e+08,-4.0725,1,2.275207e-21,0.0883,1.0000
86,172000,-6.075200e+08,-4.0000,-6.185462e+08,-4.0726,1,2.275074e-21,0.0883,1.0000
87,174000,-6.075200e+08,-4.0000,-6.185905e+08,-4.0729,1,2.274898e-21,0.0883,1.0000
88,176000,-6.075200e+08,-4.0000,-6.186421e+08,-4.0732,1,2.274569e-21,0.0883,1.0000
89,178000,-6.075200e+08,-4.0000,-6.186767e+08,-4.0735,1,2.274388e-21,0.0883,1.0000
90,180000,-6.075200e+08,-4.0000,-6.187355e+08,-4.0738,1,2.274047e-21,0.0883,1.0000
91,182000,-6.075200e+08,-4.0000,-6.187775e+08,-4.0741,1,2.273799e-21,0.0883,1.0000
92,184000,-6.075200e+08,-4.0000,-6.188400e+08,-4.0745,1,2.273454e-21,0.0883,1.0000
93,186000,-6.075200e+08,-4.0000,-6.188772e+08,-4.0748,1,2.273243e-21,0.0883,1.0000
94,188000,-6.075200e+08,-4.0000,-6.189334e+08,-4.0751,1,2.272897e-21,0.0883,1.0000
95,190000,-6.075200e+08,-4.0000,-6.189860e+08,-4.0755,1,2.272617e-21,0.0883,1.0000
96,192000,-6.075200e+08,-4.0000,-6.190289e+08,-4.0758,1,2.272325e-21,0.0883,1.0000
97,194000,-6.075200e+08,-4.0000,-6.190922e+08,-4.0762,1,2.272019e-21,0.0883,1.0000
98,196000,-6.075200e+08,-4.0000,-6.191365e+08,-4.0765,1,2.271753e-21,0.0883,1.0000
99,198000,-6.075200e+08,-4.0000,-6.191689e+08,-4.0767,1,2.271554e-21,0.0883,1.0000
100,200000,-6.075200e+08,-4.0000,-6.192559e+08,-4.0773,1,2.271088e-21,0.0883,1.0000
101,202000,-6.075200e+08,-4.0000,-6.193124e+08,-4.0776,1,2.270732e-21,0.0883,1.0000
102,204000,-6.075200e+08,-4.0000,-6.193407e+08,-4.0778,1,2.270582e-21,0.0883,1.0000
103,206000,-6.075200e+08,-4.0000,-6.193480e+08,-4.0779,1,2.270538e-21,0.0883,1.0000
104,208000,-6.075200e+08,-4.0000,-6.193949e+08,-4.0782,1,2.270300e-21,0.0883,1.0000
105,210000,-6.075200e+08,-4.0000,-6.194324e+08,-4.0784,1,2.270080e-21,0.0883,1.0000
