snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
61,122000,6.085795e+08,4.0070,5.959488e+08,3.9238,1,4.373894e-21,0.0883,1.0000
62,124000,6.061070e+08,3.9907,5.932188e+08,3.9058,1,4.462568e-21,0.0883,1.0000
63,126000,6.036345e+08,3.9744,5.904532e+08,3.8876,1,4.558680e-21,0.0883,1.0000
64,128000,6.011620e+08,3.9581,5.877043e+08,3.8695,1,4.659892e-21,0.0883,1.0000
65,130000,5.986896e+08,3.9419,5.849542e+08,3.8514,1,4.767837e-21,0.0883,1.0000
66,132000,5.962171e+08,3.9256,5.821984e+08,3.8333,1,4.884223e-21,0.0883,1.0000
67,134000,5.937446e+08,3.9093,5.794374e+08,3.8151,1,5.009785e-21,0.0883,1.0000
68,136000,5.912722e+08,3.8930,5.766806e+08,3.7969,1,5.146803e-21,0.0883,1.0000
69,138000,5.887997e+08,3.8767,5.738828e+08,3.7785,1,5.299695e-21,0.0883,1.0000
70,140000,5.863272e+08,3.8605,5.710857e+08,3.7601,1,5.471516e-21,0.0883,1.0000
71,142000,5.838548e+08,3.8442,5.682984e+08,3.7418,1,5.665317e-21,0.0883,1.0000
72,144000,5.813823e+08,3.8279,5.654771e+08,3.7232,1,5.896378e-21,0.0883,1.0000
73,146000,5.789098e+08,3.8116,5.626348e+08,3.7045,1,6.184535e-21,0.0883,1.0000
74,148000,5.764374e+08,3.7953,5.597403e+08,3.6854,1,6.588614e-21,0.0883,1.0000
75,150000,5.739649e+08,3.7791,5.568495e+08,3.6664,1,7.415583e-21,0.0883,1.0000
76,152000,5.714924e+08,3.7628,5.528929e+08,3.6403,2,1.907010e-20,0.0807,3.7152
77,154000,5.690200e+08,3.7465,5.485591e+08,3.6118,2,2.169715e-20,0.0854,3.7757
78,156000,5.665475e+08,3.7302,5.442781e+08,3.5836,2,2.026856e-20,0.0852,3.8092
79,158000,5.640750e+08,3.7140,5.400186e+08,3.5556,2,2.095294e-20,0.0890,3.6043
80,160000,5.616026e+08,3.6977,5.357584e+08,3.5275,2,2.009599e-20,0.0856,4.3233
81,162000,5.591301e+08,3.6814,5.316033e+08,3.5002,2,2.039183e-20,0.0845,3.4614
82,164000,5.566576e+08,3.6651,5.274398e+08,3.4727,2,1.989850e-20,0.0859,4.1596
83,166000,5.541852e+08,3.6488,5.233369e+08,3.4457,2,2.006924e-20,0.0767,4.1348
84,168000,5.517127e+08,3.6326,5.192186e+08,3.4186,2,2.075662e-20,0.0762,4.1799
85,170000,5.492402e+08,3.6163,5.151601e+08,3.3919,2,1.986581e-20,0.0894,3.9178
86,172000,5.467677e+08,3.6000,5.111502e+08,3.3655,2,2.065934e-20,0.0912,3.7596
87,174000,5.442953e+08,3.5837,5.071532e+08,3.3392,2,1.956316e-20,0.0856,3.7879
88,176000,5.418228e+08,3.5674,5.031913e+08,3.3131,2,2.078769e-20,0.0825,3.5284
89,178000,5.393503e+08,3.5512,4.992691e+08,3.2873,2,2.059319e-20,0.0675,3.8677
90,180000,5.368779e+08,3.5349,4.953578e+08,3.2615,2,2.017102e-20,0.0781,3.9124
91,182000,5.344054e+08,3.5186,4.914907e+08,3.2360,2,2.060453e-20,0.0686,4.2973
92,184000,5.319330e+08,3.5023,4.876381e+08,3.2107,2,1.898144e-20,0.0853,3.6602
93,186000,5.294605e+08,3.4860,4.838084e+08,3.1855,2,1.966663e-20,0.0826,3.8020
94,188000,5.269880e+08,3.4698,4.800013e+08,3.1604,2,1.997433e-20,0.0823,3.9281
95,190000,5.245156e+08,3.4535,4.762258e+08,3.1355,2,1.944847e-20,0.0838,4.0057
96,192000,5.220431e+08,3.4372,4.724644e+08,3.1108,2,1.957467e-20,0.0747,3.9856
97,194000,5.195706e+08,3.4209,4.687233e+08,3.0861,2,1.958664e-20,0.0848,3.6185
98,196000,5.170981e+08,3.4046,4.650135e+08,3.0617,2,2.010517e-20,0.0808,3.8136
99,198000,5.146257e+08,3.3884,4.613613e+08,3.0377,2,1.949068e-20,0.0800,3.8903
100,200000,5.121532e+08,3.3721,4.576583e+08,3.0133,2,1.945657e-20,0.0774,3.3922
101,202000,5.096807e+08,3.3558,4.540166e+08,2.9893,2,1.943613e-20,0.0742,3.6033
102,204000,5.072083e+08,3.3395,4.504005e+08,2.9655,2,1.964904e-20,0.0835,3.4254
103,206000,5.047358e+08,3.3233,4.468689e+08,2.9423,2,1.991092e-20,0.0835,3.5611
104,208000,5.022633e+08,3.3070,4.433184e+08,2.9189,2,2.017474e-20,0.0837,3.7529
105,210000,4.997908e+08,3.2907,4.398044e+08,2.8957,2,1.977248e-20,0.0751,3.5955
106,212000,4.973184e+08,3.2744,4.362707e+08,2.8725,2,1.869905e-20,0.0786,3.9962
107,214000,4.948459e+08,3.2581,4.327688e+08,2.8494,2,1.956533e-20,0.0736,3.9892
108,216000,4.923735e+08,3.2419,4.292982e+08,2.8266,2,1.918433e-20,0.0819,4.1464
109,218000,4.899010e+08,3.2256,4.258638e+08,2.8039,2,1.881457e-20,0.0741,3.8072
110,220000,4.874285e+08,3.2093,4.224269e+08,2.7813,2,1.969127e-20,0.0797,3.8267
111,222000,4.849561e+08,3.1930,4.190028e+08,2.7588,2,1.943596e-20,0.0859,3.3581
112,224000,4.824836e+08,3.1767,4.156400e+08,2.7366,2,1.813203e-20,0.0789,4.2625
113,226000,4.800111e+08,3.1605,4.122477e+08,2.7143,2,1.871776e-20,0.0806,3.9153
114,228000,4.775387e+08,3.1442,4.088835e+08,2.6921,2,1.946043e-20,0.0790,3.8307
115,230000,4.750662e+08,3.1279,4.055873e+08,2.6704,2,1.908195e-20,0.0778,3.9122
116,232000,4.725937e+08,3.1116,4.022601e+08,2.6485,2,1.857286e-20,0.0627,4.0148
117,234000,4.701212e+08,3.0953,3.989922e+08,2.6270,2,1.851375e-20,0.0804,3.2427
118,236000,4.676488e+08,3.0791,3.957339e+08,2.6056,2,1.901717e-20,0.0774,3.5413
119,238000,4.651763e+08,3.0628,3.924517e+08,2.5840,2,1.839288e-20,0.0758,3.4834
120,240000,4.627038e+08,3.0465,3.892059e+08,2.5626,2,1.840271e-20,0.0769,3.6124
121,242000,4.602314e+08,3.0302,3.859951e+08,2.5414,2,1.822199e-20,0.0793,3.7832
122,244000,4.577589e+08,3.0140,3.828284e+08,2.5206,2,1.848656e-20,0.0781,4.1752
123,246000,4.552864e+08,2.9977,3.796113e+08,2.4994,2,1.794140e-20,0.0843,4.3187
124,248000,4.528140e+08,2.9814,3.764195e+08,2.4784,2,1.822235e-20,0.0774,3.3117
125,250000,4.503415e+08,2.9651,3.732645e+08,2.4576,2,1.838733e-20,0.0772,3.9571
126,252000,4.478690e+08,2.9488,3.701175e+08,2.4369,2,1.790272e-20,0.0798,3.6497
